comment,sentiment_score
I don't trust 76ers point guard hype bc what they said from out of there own mouth with Michael Carter Williams,1
No mention of Bronny James?,1
McCain and Knecht are overrated bc they got good spots on top heavy teams.,2
Hello where is Wells,1
Ryan Dunn snubbed,1
Dalton Knecht could go 2 or 3? No he couldn't. What a horrible take man. Not a god damn chance.,1
This class is still very weak it’s actually going exactly like they said not any SUPERSTAR/All Star players but I do see a lot of good Starters maybe fringe level all stars.,2
"This guy needs to watch Missi's highlights against the Spurs. Steal...coast to coast...eurostep slam @ 6'-11"" come on now ....show me a better rookie highlight",1
Its barely been a season for fucks sake i hate casuals,1
Give the Kings a F... Monte McNair taking Carter was a terrible pick and Carter better be amazing to justify to stupidity of the pick.,1
Just cause McCain and dalton have played by far the best doesn’t mean they’re by far the best prospects. No shot they go 1 and 2 in a redraft lol Sarr prolly still goes one ily but what is this reactionary ass video lmao,1
My biggest flex in life was always saying people were underrating this class. No idea why it was talked up to be one of the worst of all time.,1
I didnt even watch I just disliked the video,2
Wearing a Magic shirt but stopping at 17 right before the Magics pick is disgusting. Take off that shirt you phony,1
Tokyo’s video is 2 years too early,2
Yves Missi not listed???,1
Ya gotta pray Zach Edey develops a shot like brook Lopez look at yourself in the mirror he’s never gonna be close to wemby,1
Spurs gonna be unstoppable,1
Dalton Knecht is 23 years old... It is just not worth it to compare him to a 19 years old prospect.,2
"Sheppard grading above Sarr is ludicrous.  Sarr's grade I get but Sheppard has been miserable so far, Houston is getting almost nothing from him.",2
"Nah Sarr gets wayyyy too much hate, he averages 2 blocks a game a rookie? Hes shown flashed of shooting and being a lob threat? As far as rookies go he’s literally been one of the best your absolutely trippin bro",1
Saying Castle could go as high as 2 was laughable considering he's an inefficient shot jacker He's not a great shooter and sure he might get you 12 to 15 points but he's going to need 12 to 15 shots to get those points.,2
Those Top picks French players are Terrible,1
Alex sarr shooting too much threes,2
"I don’t understand your logic behind McCain number 1 in the redraft. You clearly laid out the reason Atlanta chose Zacc but then went against that by having them take Jared number one. McCain doesn’t fit what Atlanta is trying to do defensively. Yes, he’s out producing Zacc statistically so far, but it’s team identity you probably should be looking at?! 

Also, side note…. So many 🏀 YouTubers are going crazy on picks 16/17… I’ve been watching basketball a long time… I can remember a lot of people back in ‘09 saying “Brandon Jennings is the greatest thing since sliced bread…” hahaha let’s let not get ahead of ourselves. 

All of this to say - Atlanta wouldn’t choose McCain #1 in a redraft lol",1
Idiot that boy from spurs is the real deal...that  one from phily is a pretender,1
No mention of Yves Missi at 21?,1
"That right KNECHT 4 doNT play games with him he is the game lol 37pts for a rookie, LAKERS NATION",1
Does Washington regret not having taken Edey at #2 yet?,1
The only thing terrible related to this year’s draft were the takes before the event and during Summer League.,1
"As a Grizzlies fan getting Zach Edey, Jaylen Wells, GG Jackson, Walker Kessler (Traded), Santi Aldama, Vince Williams, Trey Murphy (Traded), and Desmond Bane over the last 4 years is insane in the drafts including 2nd rounders is insane! They never miss on picks.",1
My bro did Yves Missi dirty,1
Knecht has sucked three games in a row.   The league may have him figured out,1
You create a redraft that doesn't include YVES MISSI wow!That is wild...Yves could small all this guys and he is having already 6 DOUBLE DOUBLES ahead of all other players by far,1
it has been 2 months lol,1
He stopped right before Tristan Da Silva 😢,1
Yves Missi???,1
It's too early. Mike Conley was a bust his 1st 4-5 years,2
"You can't fault anyone who was drafted by the Wizards until they've been away from the franchise for at least twice the time they were with the Wizards and, of course, once they've gone through a complete year of therapy from the American Trauma Victims Association or other evidence-based cognitive behavioral therapy group.",1
Wells????,1
Jaylen Wells?,1
No Ajay Mitchell? Smh,1
Bruh did you not remember Jaylen Wells??,1
Dalton def number 1,1
Re-grading after not even halfway through their rookie season 💀 not taking this shit serious at all lmao,1
No love for Yves Missi??,1
Too early for this especially for a class like this,2
